ip,sent,recv,loss,delay_ms,colo,updated_at_utc
172.66.155.27,1,1,0.00,3.30,ORD,2026-05-15T06:45:49Z
162.159.136.69,1,1,0.00,3.63,ORD,2026-05-15T06:45:49Z
162.159.8.214,1,1,0.00,3.64,ORD,2026-05-15T06:45:49Z
162.159.48.144,1,1,0.00,3.67,ORD,2026-05-15T06:45:49Z
162.159.152.109,1,1,0.00,3.74,ORD,2026-05-15T06:45:49Z
162.159.252.218,1,1,0.00,3.81,ORD,2026-05-15T06:45:49Z
172.66.162.231,1,1,0.00,3.82,ORD,2026-05-15T06:45:49Z
162.159.49.73,1,1,0.00,3.85,ORD,2026-05-15T06:45:49Z
162.159.251.93,1,1,0.00,3.88,ORD,2026-05-15T06:45:49Z
162.159.246.141,1,1,0.00,3.98,ORD,2026-05-15T06:45:49Z
172.66.152.58,1,1,0.00,3.99,ORD,2026-05-15T06:45:49Z
162.159.140.104,1,1,0.00,4.00,ORD,2026-05-15T06:45:49Z
172.66.147.72,1,1,0.00,4.00,ORD,2026-05-15T06:45:49Z
162.159.230.112,1,1,0.00,4.02,ORD,2026-05-15T06:45:49Z
172.66.170.210,1,1,0.00,4.06,ORD,2026-05-15T06:45:49Z
172.66.175.76,1,1,0.00,4.06,ORD,2026-05-15T06:45:49Z
162.159.196.1,1,1,0.00,4.07,ORD,2026-05-15T06:45:49Z
162.159.232.242,1,1,0.00,4.07,ORD,2026-05-15T06:45:49Z
172.66.0.123,1,1,0.00,4.07,ORD,2026-05-15T06:45:49Z
172.66.47.239,1,1,0.00,4.07,ORD,2026-05-15T06:45:49Z
172.66.43.227,1,1,0.00,4.08,ORD,2026-05-15T06:45:49Z
190.93.245.6,1,1,0.00,4.11,ORD,2026-05-15T06:45:49Z
162.159.249.171,1,1,0.00,4.13,ORD,2026-05-15T06:45:49Z
162.159.253.142,1,1,0.00,4.13,ORD,2026-05-15T06:45:49Z
172.66.3.90,1,1,0.00,4.14,ORD,2026-05-15T06:45:49Z
162.159.234.73,1,1,0.00,4.17,ORD,2026-05-15T06:45:49Z
162.159.5.148,1,1,0.00,4.17,ORD,2026-05-15T06:45:49Z
162.159.129.55,1,1,0.00,4.18,ORD,2026-05-15T06:45:49Z
162.159.23.235,1,1,0.00,4.21,ORD,2026-05-15T06:45:49Z
172.66.40.194,1,1,0.00,4.24,ORD,2026-05-15T06:45:49Z
162.159.35.27,1,1,0.00,4.25,ORD,2026-05-15T06:45:49Z
162.159.42.248,1,1,0.00,4.25,ORD,2026-05-15T06:45:49Z
190.93.244.196,1,1,0.00,4.25,ORD,2026-05-15T06:45:49Z
172.66.159.77,1,1,0.00,4.26,ORD,2026-05-15T06:45:49Z
162.159.27.78,1,1,0.00,4.28,ORD,2026-05-15T06:45:49Z
162.159.60.43,1,1,0.00,4.28,ORD,2026-05-15T06:45:49Z
190.93.247.172,1,1,0.00,4.28,ORD,2026-05-15T06:45:49Z
172.66.174.192,1,1,0.00,4.31,ORD,2026-05-15T06:45:49Z
172.66.163.169,1,1,0.00,4.32,ORD,2026-05-15T06:45:49Z
162.159.3.163,1,1,0.00,4.33,ORD,2026-05-15T06:45:49Z
162.159.137.126,1,1,0.00,4.37,ORD,2026-05-15T06:45:49Z
162.159.141.129,1,1,0.00,4.38,ORD,2026-05-15T06:45:49Z
172.66.145.167,1,1,0.00,4.38,ORD,2026-05-15T06:45:49Z
162.159.207.90,1,1,0.00,4.40,ORD,2026-05-15T06:45:49Z
162.159.36.81,1,1,0.00,4.40,ORD,2026-05-15T06:45:49Z
162.159.43.183,1,1,0.00,4.44,ORD,2026-05-15T06:45:49Z
162.159.255.13,1,1,0.00,4.45,ORD,2026-05-15T06:45:49Z
162.159.62.14,1,1,0.00,4.45,ORD,2026-05-15T06:45:49Z
162.159.7.21,1,1,0.00,4.45,ORD,2026-05-15T06:45:49Z
172.66.146.75,1,1,0.00,4.45,ORD,2026-05-15T06:45:49Z
162.159.228.82,1,1,0.00,4.46,ORD,2026-05-15T06:45:49Z
162.159.250.127,1,1,0.00,4.48,ORD,2026-05-15T06:45:49Z
172.66.149.132,1,1,0.00,4.52,ORD,2026-05-15T06:45:49Z
162.159.18.211,1,1,0.00,4.53,ORD,2026-05-15T06:45:49Z
172.66.172.188,1,1,0.00,4.53,ORD,2026-05-15T06:45:49Z
172.66.41.33,1,1,0.00,4.53,ORD,2026-05-15T06:45:49Z
162.159.229.211,1,1,0.00,4.57,ORD,2026-05-15T06:45:49Z
172.64.233.153,1,1,0.00,4.59,ORD,2026-05-15T06:45:49Z
162.159.40.23,1,1,0.00,4.60,ORD,2026-05-15T06:45:49Z
162.159.92.36,1,1,0.00,4.64,ORD,2026-05-15T06:45:49Z
162.159.25.181,1,1,0.00,4.65,ORD,2026-05-15T06:45:49Z
162.159.12.95,1,1,0.00,4.69,ORD,2026-05-15T06:45:49Z
162.159.224.128,1,1,0.00,4.69,ORD,2026-05-15T06:45:49Z
162.159.236.170,1,1,0.00,4.70,ORD,2026-05-15T06:45:49Z
162.159.138.51,1,1,0.00,4.72,ORD,2026-05-15T06:45:49Z
162.159.4.118,1,1,0.00,4.72,ORD,2026-05-15T06:45:49Z
162.159.199.197,1,1,0.00,4.73,ORD,2026-05-15T06:45:49Z
172.66.1.25,1,1,0.00,4.73,ORD,2026-05-15T06:45:49Z
162.159.198.86,1,1,0.00,4.74,ORD,2026-05-15T06:45:49Z
162.159.197.24,1,1,0.00,4.76,ORD,2026-05-15T06:45:49Z
162.159.245.171,1,1,0.00,4.76,ORD,2026-05-15T06:45:49Z
162.159.193.200,1,1,0.00,4.79,ORD,2026-05-15T06:45:49Z
162.159.81.28,1,1,0.00,4.80,ORD,2026-05-15T06:45:49Z
162.159.91.46,1,1,0.00,4.80,ORD,2026-05-15T06:45:49Z
172.66.171.112,1,1,0.00,4.80,ORD,2026-05-15T06:45:49Z
172.66.153.25,1,1,0.00,4.82,ORD,2026-05-15T06:45:49Z
162.159.2.30,1,1,0.00,4.83,ORD,2026-05-15T06:45:49Z
162.159.16.200,1,1,0.00,4.84,ORD,2026-05-15T06:45:49Z
162.159.94.201,1,1,0.00,4.84,ORD,2026-05-15T06:45:49Z
162.159.9.200,1,1,0.00,4.85,ORD,2026-05-15T06:45:49Z
162.159.0.49,1,1,0.00,4.86,ORD,2026-05-15T06:45:49Z
162.159.17.228,1,1,0.00,4.87,ORD,2026-05-15T06:45:49Z
172.64.234.250,1,1,0.00,4.89,ORD,2026-05-15T06:45:49Z
172.64.235.89,1,1,0.00,4.94,ORD,2026-05-15T06:45:49Z
162.159.239.121,1,1,0.00,4.95,ORD,2026-05-15T06:45:49Z
172.66.154.103,1,1,0.00,4.95,ORD,2026-05-15T06:45:49Z
162.159.34.119,1,1,0.00,4.98,ORD,2026-05-15T06:45:49Z
172.66.167.217,1,1,0.00,4.98,ORD,2026-05-15T06:45:49Z
162.159.195.37,1,1,0.00,5.02,ORD,2026-05-15T06:45:49Z
162.159.24.233,1,1,0.00,5.02,ORD,2026-05-15T06:45:49Z
162.159.241.130,1,1,0.00,5.03,ORD,2026-05-15T06:45:49Z
162.159.244.4,1,1,0.00,5.03,ORD,2026-05-15T06:45:49Z
162.159.134.119,1,1,0.00,5.04,ORD,2026-05-15T06:45:49Z
162.159.254.36,1,1,0.00,5.04,ORD,2026-05-15T06:45:49Z
162.159.192.17,1,1,0.00,5.05,ORD,2026-05-15T06:45:49Z
172.66.161.185,1,1,0.00,5.07,ORD,2026-05-15T06:45:49Z
172.66.169.126,1,1,0.00,5.07,ORD,2026-05-15T06:45:49Z
162.159.143.216,1,1,0.00,5.08,ORD,2026-05-15T06:45:49Z
162.159.243.232,1,1,0.00,5.12,ORD,2026-05-15T06:45:49Z
172.66.160.217,1,1,0.00,5.12,ORD,2026-05-15T06:45:49Z
162.159.1.158,1,1,0.00,5.13,ORD,2026-05-15T06:45:49Z
162.159.240.173,1,1,0.00,5.15,ORD,2026-05-15T06:45:49Z
162.159.153.153,1,1,0.00,5.16,ORD,2026-05-15T06:45:49Z
172.66.173.238,1,1,0.00,5.18,ORD,2026-05-15T06:45:49Z
172.66.158.251,1,1,0.00,5.19,ORD,2026-05-15T06:45:49Z
162.159.231.77,1,1,0.00,5.20,ORD,2026-05-15T06:45:49Z
172.66.156.58,1,1,0.00,5.22,ORD,2026-05-15T06:45:49Z
162.159.130.140,1,1,0.00,5.23,ORD,2026-05-15T06:45:49Z
162.159.22.73,1,1,0.00,5.26,ORD,2026-05-15T06:45:49Z
162.159.6.175,1,1,0.00,5.27,ORD,2026-05-15T06:45:49Z
162.159.235.137,1,1,0.00,5.29,ORD,2026-05-15T06:45:49Z
162.159.26.33,1,1,0.00,5.32,ORD,2026-05-15T06:45:49Z
162.159.33.231,1,1,0.00,5.34,ORD,2026-05-15T06:45:49Z
162.159.194.151,1,1,0.00,5.37,ORD,2026-05-15T06:45:49Z
172.66.148.23,1,1,0.00,5.37,ORD,2026-05-15T06:45:49Z
162.159.90.236,1,1,0.00,5.38,ORD,2026-05-15T06:45:49Z
162.159.11.139,1,1,0.00,5.40,ORD,2026-05-15T06:45:49Z
162.159.32.124,1,1,0.00,5.44,ORD,2026-05-15T06:45:49Z
162.159.93.221,1,1,0.00,5.45,ORD,2026-05-15T06:45:49Z
172.66.44.23,1,1,0.00,5.48,ORD,2026-05-15T06:45:49Z
